scale,field,tech_type,year,revenue,rd_cost,researchers,employees
5,감축,온실가스 고정,2020,1399682.0,532.0,86.0,262.0
5,적응,농업&축산,2020,2712690.0,25000.0,236.0,1702.0
5,적응,물관리,2020,7091323.0,141938.0,1498.0,5218.0
5,적응,건강,2020,43620.0,0.0,11.0,110.0
5,융복합,감축 및 적응 융복합,2020,1023679.0,53248.0,279.0,731.0
6,감축,비재생에너지,2020,5342661.0,54762.0,3112.0,5997.0
6,감축,재생에너지,2020,663568.0,656759.0,983.0,2811.0
6,감축,신에너지,2020,4974.0,10105.0,55.0,304.0
6,감축,에너지저장,2020,234148.0,111548.0,485.0,1035.0
6,감축,송배전&전력IT,2020,2278682.0,132859.0,212.0,1989.0
6,감축,에너지수요,2020,1010813.0,510653.0,2339.0,7041.0
6,감축,온실가스 고정,2020,23634.0,7731.0,6.0,66.0
6,적응,농업&축산,2020,74126.0,442062.0,439.0,842.0
6,적응,물관리,2020,115433.0,0.0,99.0,737.0
6,적응,예측･모니터링,2020,48717.0,0.0,3.0,54.0
6,적응,해양수산연안,2020,14000.0,0.0,0.0,0.0
6,적응,산림육상,2020,11631.0,0.0,0.0,42.0
6,융복합,감축 및 적응 융복합,2020,0.0,64.0,530.0,1985.0
전체,감축,비재생에너지,2021,7356610.0,458282.0,4189.0,10302.0
전체,감축,재생에너지,2021,20936657.0,1987277.0,10979.0,32492.0
전체,감축,신에너지,2021,12263948.0,428222.0,2583.0,10033.0
전체,감축,에너지저장,2021,43203652.0,2189995.0,11093.0,27530.0
전체,감축,송배전&전력IT,2021,22268351.0,942999.0,5446.0,29381.0
전체,감축,에너지수요,2021,65937348.0,2557652.0,23721.0,78260.0
전체,감축,온실가스 고정,2021,8620520.0,36972.0,1577.0,2497.0
전체,적응,농업&축산,2021,3911818.0,412071.0,3060.0,9670.0
전체,적응,물관리,2021,11071516.0,524277.0,6390.0,17083.0
전체,적응,예측･모니터링,2021,397990.0,217868.0,2064.0,2623.0
전체,적응,해양수산연안,2021,41380.0,87554.0,880.0,1344.0
전체,적응,건강,2021,1982099.0,397752.0,2539.0,10886.0
전체,적응,산림육상,2021,345634.0,60906.0,451.0,2309.0
전체,융복합,감축 및 적응 융복합,2021,2027564.0,384008.0,2143.0,6016.0
1,감축,비재생에너지,2021,187200.0,9632.0,45.0,589.0
1,감축,재생에너지,2021,2150299.0,405324.0,2288.0,5745.0
1,감축,신에너지,2021,481044.0,166777.0,879.0,1935.0
1,감축,에너지저장,2021,414204.0,47935.0,579.0,1944.0
1,감축,송배전&전력IT,2021,911955.0,153152.0,1388.0,3877.0
1,감축,에너지수요,2021,2081242.0,310568.0,3076.0,8455.0
1,감축,온실가스 고정,2021,104933.0,5134.0,116.0,241.0
1,적응,농업&축산,2021,342996.0,102314.0,1014.0,2356.0
1,적응,물관리,2021,1068979.0,166275.0,1232.0,3561.0
1,적응,예측･모니터링,2021,34744.0,11084.0,270.0,410.0
1,적응,해양수산연안,2021,12148.0,919.0,29.0,142.0
1,적응,건강,2021,64745.0,34631.0,584.0,737.0
1,적응,산림육상,2021,61911.0,2499.0,61.0,737.0
1,융복합,감축 및 적응 융복합,2021,168385.0,73920.0,773.0,1336.0
2,감축,비재생에너지,2021,138344.0,4861.0,16.0,284.0
2,감축,재생에너지,2021,2062003.0,123178.0,1460.0,4350.0
2,감축,신에너지,2021,352361.0,72825.0,366.0,1306.0
2,감축,에너지저장,2021,583126.0,78495.0,754.0,1498.0
2,감축,송배전&전력IT,2021,802056.0,147553.0,1372.0,4767.0
2,감축,에너지수요,2021,4106257.0,174955.0,2816.0,10171.0
2,감축,온실가스 고정,2021,127756.0,8871.0,27.0,141.0
2,적응,농업&축산,2021,287245.0,21673.0,548.0,1111.0
2,적응,물관리,2021,1213058.0,86507.0,1629.0,3941.0
2,적응,예측･모니터링,2021,74214.0,0.0,12.0,62.0
2,적응,해양수산연안,2021,16806.0,9553.0,73.0,111.0
2,적응,건강,2021,290702.0,75093.0,631.0,1222.0
2,적응,산림육상,2021,86367.0,9664.0,76.0,165.0
2,융복합,감축 및 적응 융복합,2021,148352.0,13232.0,211.0,651.0
3,감축,비재생에너지,2021,100857.0,14027.0,164.0,610.0
3,감축,재생에너지,2021,2125838.0,101308.0,613.0,4047.0
3,감축,신에너지,2021,391735.0,30377.0,93.0,1008.0
3,감축,에너지저장,2021,859273.0,20451.0,169.0,808.0
3,감축,송배전&전력IT,2021,612850.0,79786.0,331.0,2622.0
3,감축,에너지수요,2021,1605103.0,106966.0,846.0,3087.0
3,감축,온실가스 고정,2021,27721.0,1984.0,4.0,19.0
3,적응,농업&축산,2021,91158.0,5693.0,94.0,142.0
3,적응,물관리,2021,512155.0,33610.0,794.0,1429.0
3,적응,예측･모니터링,2021,26220.0,2572.0,92.0,122.0
3,적응,해양수산연안,2021,2000.0,0.0,0.0,6.0
3,적응,건강,2021,0.0,30000.0,164.0,164.0
3,적응,산림육상,2021,4217.0,5374.0,12.0,12.0
3,융복합,감축 및 적응 융복합,2021,193803.0,11744.0,101.0,375.0
4,감축,비재생에너지,2021,157481.0,15112.0,7.0,132.0
4,감축,재생에너지,2021,1448527.0,96484.0,1001.0,2821.0
4,감축,신에너지,2021,147164.0,6153.0,44.0,296.0
4,감축,에너지저장,2021,634393.0,24169.0,262.0,1543.0
4,감축,송배전&전력IT,2021,1375359.0,117507.0,728.0,2092.0
4,감축,에너지수요,2021,10252391.0,86814.0,2221.0,6436.0
4,감축,온실가스 고정,2021,120803.0,12543.0,508.0,508.0
4,적응,농업&축산,2021,228482.0,13222.0,96.0,614.0
4,적응,물관리,2021,542985.0,31652.0,777.0,1507.0
4,적응,예측･모니터링,2021,0.0,0.0,810.0,810.0
4,적응,해양수산연안,2021,9337.0,105.0,8.0,42.0
4,적응,건강,2021,133218.0,14381.0,97.0,369.0
4,적응,산림육상,2021,121140.0,9691.0,176.0,176.0
4,융복합,감축 및 적응 융복합,2021,316348.0,7799.0,34.0,541.0
5,감축,비재생에너지,2021,3819185.0,6643.0,569.0,2632.0
5,감축,재생에너지,2021,12565082.0,452608.0,4291.0,11641.0
5,감축,신에너지,2021,10884602.0,143923.0,1115.0,4836.0
5,감축,에너지저장,2021,40501459.0,1860227.0,8191.0,18909.0
5,감축,송배전&전력IT,2021,18218236.0,402659.0,671.0,13872.0
5,감축,에너지수요,2021,46642682.0,1317428.0,12036.0,43049.0
5,감축,온실가스 고정,2021,8236189.0,6841.0,917.0,1577.0
5,적응,농업&축산,2021,2722050.0,63442.0,423.0,3173.0
5,적응,물관리,2021,7646503.0,198415.0,1911.0,5538.0
5,적응,건강,2021,518319.0,127581.0,96.0,922.0
5,융복합,감축 및 적응 융복합,2021,1154252.0,39754.0,428.0,902.0
6,감축,비재생에너지,2021,2953543.0,408008.0,3388.0,6055.0
6,감축,재생에너지,2021,584908.0,808375.0,1327.0,3888.0
6,감축,신에너지,2021,7042.0,8167.0,85.0,652.0
6,감축,에너지저장,2021,211198.0,158719.0,1138.0,2828.0
6,감축,송배전&전력IT,2021,347894.0,42343.0,957.0,2151.0
6,감축,에너지수요,2021,1249672.0,560920.0,2726.0,7063.0
6,감축,온실가스 고정,2021,3118.0,1600.0,6.0,12.0
6,적응,농업&축산,2021,239887.0,205727.0,884.0,2274.0
6,적응,물관리,2021,87836.0,7818.0,48.0,1106.0
6,적응,예측･모니터링,2021,262813.0,204213.0,880.0,1219.0
6,적응,해양수산연안,2021,1089.0,76977.0,770.0,1044.0
6,적응,건강,2021,975115.0,116068.0,967.0,7471.0
6,적응,산림육상,2021,72000.0,33678.0,125.0,1219.0
6,융복합,감축 및 적응 융복합,2021,46424.0,237557.0,597.0,2211.0
