scale,field,tech_type,year,researchers
6,감축,송배전&전력IT,2021,957.0
6,감축,에너지수요,2021,2726.0
6,감축,온실가스 고정,2021,6.0
6,적응,농업&축산,2021,884.0
6,적응,물관리,2021,48.0
6,적응,예측･모니터링,2021,880.0
6,적응,해양수산연안,2021,770.0
6,적응,건강,2021,967.0
6,적응,산림육상,2021,125.0
6,융복합,감축 및 적응 융복합,2021,597.0
